,demand,gridcost,pv
2014-01-01 00:00:00,89.856,0.2,0.0
2014-01-01 00:15:00,89.856,0.2,0.0
2014-01-01 00:30:00,89.856,0.2,0.0
2014-01-01 00:45:00,82.944,0.2,0.0
2014-01-01 01:00:00,89.856,0.2,0.0
2014-01-01 01:15:00,89.856,0.2,0.0
2014-01-01 01:30:00,89.856,0.2,0.0
2014-01-01 01:45:00,89.856,0.2,0.0
2014-01-01 02:00:00,89.856,0.2,0.0
2014-01-01 02:15:00,89.856,0.2,0.0
2014-01-01 02:30:00,82.944,0.2,0.0
2014-01-01 02:45:00,89.856,0.2,0.0
2014-01-01 03:00:00,89.856,0.2,0.0
2014-01-01 03:15:00,89.856,0.2,0.0
2014-01-01 03:30:00,82.944,0.2,0.0
2014-01-01 03:45:00,89.856,0.2,0.0
2014-01-01 04:00:00,89.856,0.2,0.0
2014-01-01 04:15:00,89.856,0.2,0.0
2014-01-01 04:30:00,82.944,0.2,0.0
2014-01-01 04:45:00,89.856,0.2,0.0
2014-01-01 05:00:00,89.856,0.2,0.0
2014-01-01 05:15:00,89.856,0.2,0.0
2014-01-01 05:30:00,89.856,0.2,0.0
2014-01-01 05:45:00,89.856,0.2,0.0
2014-01-01 06:00:00,82.944,0.2,0.0
2014-01-01 06:15:00,89.856,0.2,0.0
2014-01-01 06:30:00,89.856,0.2,0.0
2014-01-01 06:45:00,82.944,0.2,0.0
2014-01-01 07:00:00,124.416,0.2,0.0
2014-01-01 07:15:00,131.328,0.2,0.0
2014-01-01 07:30:00,124.416,0.2,0.0
2014-01-01 07:45:00,131.328,0.2,4.62573444516
2014-01-01 08:00:00,131.328,0.2,10.8327902502
2014-01-01 08:15:00,124.416,0.2,25.0055676716
2014-01-01 08:30:00,131.328,0.22,47.0997305965
2014-01-01 08:45:00,124.416,0.22,68.0559332906
2014-01-01 09:00:00,124.416,0.22,102.918896729
2014-01-01 09:15:00,131.328,0.22,126.151019885
2014-01-01 09:30:00,124.416,0.22,150.742783836
2014-01-01 09:45:00,131.328,0.22,173.206414368
2014-01-01 10:00:00,124.416,0.22,191.36944195
2014-01-01 10:15:00,131.328,0.22,204.448595253
2014-01-01 10:30:00,124.416,0.22,217.379961514
2014-01-01 10:45:00,131.328,0.22,232.380346376
2014-01-01 11:00:00,131.328,0.22,242.754996793
2014-01-01 11:15:00,124.416,0.22,250.883284157
2014-01-01 11:30:00,131.328,0.22,258.449980757
2014-01-01 11:45:00,124.416,0.22,264.228454137
2014-01-01 12:00:00,131.328,0.22,254.784862091
2014-01-01 12:15:00,131.328,0.22,251.193636947
2014-01-01 12:30:00,124.416,0.22,228.153636947
2014-01-01 12:45:00,131.328,0.22,245.636844131
2014-01-01 13:00:00,124.416,0.22,190.334932649
2014-01-01 13:15:00,131.328,0.22,181.911071199
2014-01-01 13:30:00,117.504,0.22,190.497498396
2014-01-01 13:45:00,131.328,0.22,123.180500321
2014-01-01 14:00:00,124.416,0.22,165.964849262
2014-01-01 14:15:00,124.416,0.22,143.959358563
2014-01-01 14:30:00,124.416,0.22,101.559255933
2014-01-01 14:45:00,131.328,0.22,97.8645798589
2014-01-01 15:00:00,124.416,0.22,79.3764207826
2014-01-01 15:15:00,124.416,0.22,68.573187941
2014-01-01 15:30:00,124.416,0.22,74.0117511225
2014-01-01 15:45:00,131.328,0.22,60.7995894804
2014-01-01 16:00:00,117.504,0.22,38.0699422707
2014-01-01 16:15:00,131.328,0.22,25.8479538165
2014-01-01 16:30:00,124.416,0.22,12.3993329057
2014-01-01 16:45:00,124.416,0.22,2.20202694035
2014-01-01 17:00:00,124.416,0.22,0.0
2014-01-01 17:15:00,131.328,0.22,0.0
2014-01-01 17:30:00,124.416,0.22,0.0
2014-01-01 17:45:00,131.328,0.22,0.0
2014-01-01 18:00:00,131.328,0.22,0.0
2014-01-01 18:15:00,124.416,0.22,0.0
2014-01-01 18:30:00,124.416,0.22,0.0
2014-01-01 18:45:00,131.328,0.22,0.0
2014-01-01 19:00:00,124.416,0.22,0.0
2014-01-01 19:15:00,124.416,0.22,0.0
2014-01-01 19:30:00,124.416,0.22,0.0
2014-01-01 19:45:00,131.328,0.22,0.0
2014-01-01 20:00:00,124.416,0.22,0.0
2014-01-01 20:15:00,131.328,0.22,0.0
2014-01-01 20:30:00,124.416,0.22,0.0
2014-01-01 20:45:00,131.328,0.22,0.0
2014-01-01 21:00:00,124.416,0.22,0.0
2014-01-01 21:15:00,131.328,0.22,0.0
2014-01-01 21:30:00,124.416,0.2,0.0
2014-01-01 21:45:00,131.328,0.2,0.0
2014-01-01 22:00:00,89.856,0.2,0.0
2014-01-01 22:15:00,96.768,0.2,0.0
2014-01-01 22:30:00,82.944,0.2,0.0
2014-01-01 22:45:00,89.856,0.2,0.0
2014-01-01 23:00:00,89.856,0.2,0.0
2014-01-01 23:15:00,89.856,0.2,0.0
2014-01-01 23:30:00,89.856,0.2,0.0
2014-01-01 23:45:00,89.856,0.2,0.0
2014-01-02 00:00:00,82.944,0.2,0.0
2014-01-02 00:15:00,89.856,0.2,0.0
2014-01-02 00:30:00,89.856,0.2,0.0
2014-01-02 00:45:00,89.856,0.2,0.0
