,kw_prod,kw_used,tou_rate,kw_prod_jacked
2014-07-01 00:00:00,0.0,-14.08,0.202,0.0
2014-07-01 00:15:00,0.0,-14.08,0.202,0.0
2014-07-01 00:30:00,0.0,-14.72,0.202,0.0
2014-07-01 00:45:00,0.0,-14.08,0.202,0.0
2014-07-01 01:00:00,0.0,-14.08,0.202,0.0
2014-07-01 01:15:00,0.0,-14.72,0.202,0.0
2014-07-01 01:30:00,0.0,-14.08,0.202,0.0
2014-07-01 01:45:00,0.0,-14.08,0.202,0.0
2014-07-01 02:00:00,0.0,-14.72,0.202,0.0
2014-07-01 02:15:00,0.0,-14.08,0.202,0.0
2014-07-01 02:30:00,0.0,-14.08,0.202,0.0
2014-07-01 02:45:00,0.0,-14.08,0.202,0.0
2014-07-01 03:00:00,0.0,-14.08,0.202,0.0
2014-07-01 03:15:00,0.0,-14.08,0.202,0.0
2014-07-01 03:30:00,0.0,-14.08,0.202,0.0
2014-07-01 03:45:00,0.0,-27.52,0.202,0.0
2014-07-01 04:00:00,0.0,-36.48,0.202,0.0
2014-07-01 04:15:00,0.0,-37.12,0.202,0.0
2014-07-01 04:30:00,0.0,-37.12,0.202,0.0
2014-07-01 04:45:00,0.0,-43.52,0.202,0.0
2014-07-01 05:00:00,0.0,-47.36,0.202,0.0
2014-07-01 05:15:00,0.0,-48.0,0.202,0.0
2014-07-01 05:30:00,0.0,-47.36,0.202,0.0
2014-07-01 05:45:00,0.0,-48.0,0.202,0.0
2014-07-01 06:00:00,0.0,-47.36,0.202,0.0
2014-07-01 06:15:00,0.0,-44.8,0.202,0.0
2014-07-01 06:30:00,0.161562255007,-44.8,0.202,0.24234338251
2014-07-01 06:45:00,0.614775853467,-44.16,0.202,0.922163780201
2014-07-01 07:00:00,1.33865868434,-44.16,0.202,2.00798802651
2014-07-01 07:15:00,2.32481790321,-44.8,0.202,3.48722685482
2014-07-01 07:30:00,2.98365618987,-44.16,0.202,4.4754842848
2014-07-01 07:45:00,3.84811916471,-44.8,0.202,5.77217874706
2014-07-01 08:00:00,5.35883115958,-45.44,0.202,8.03824673936
2014-07-01 08:15:00,6.53802580001,-46.08,0.202,9.80703870002
2014-07-01 08:30:00,8.24596963866,-45.44,0.23,12.368954458
2014-07-01 08:45:00,10.3211004205,-46.72,0.23,15.4816506307
2014-07-01 09:00:00,12.9900249448,-46.08,0.23,19.4850374171
2014-07-01 09:15:00,14.7399330055,-45.44,0.23,22.1098995082
2014-07-01 09:30:00,17.3668933077,-46.08,0.23,26.0503399615
2014-07-01 09:45:00,20.5309956525,-46.72,0.23,30.7964934787
2014-07-01 10:00:00,22.3438500463,-47.36,0.23,33.5157750695
2014-07-01 10:15:00,26.4206742214,-46.72,0.23,39.6310113321
2014-07-01 10:30:00,27.7572346946,-47.36,0.23,41.6358520419
2014-07-01 10:45:00,26.5927275319,-46.72,0.23,39.8890912978
2014-07-01 11:00:00,25.384157936,-47.36,0.23,38.076236904
2014-07-01 11:15:00,28.5251799587,-46.72,0.23,42.787769938
2014-07-01 11:30:00,35.0757950253,-46.72,0.23,52.613692538
2014-07-01 11:45:00,40.6108759176,-46.72,0.23,60.9163138764
2014-07-01 12:00:00,36.3137395767,-46.72,0.253,54.470609365
2014-07-01 12:15:00,45.2017618131,-46.08,0.253,67.8026427197
2014-07-01 12:30:00,42.1803378234,-46.72,0.253,63.2705067351
2014-07-01 12:45:00,37.9230674934,-46.08,0.253,56.8846012401
2014-07-01 13:00:00,43.4455591191,-46.72,0.253,65.1683386786
2014-07-01 13:15:00,58.8443304112,-46.08,0.253,88.2664956168
2014-07-01 13:30:00,53.835900506,-46.72,0.253,80.753850759
2014-07-01 13:45:00,66.4923098853,-46.08,0.253,99.7384648279
2014-07-01 14:00:00,81.1483144466,-46.72,0.253,121.72247167
2014-07-01 14:15:00,86.3686636733,-47.36,0.253,129.55299551
2014-07-01 14:30:00,53.4246511296,-42.88,0.253,80.1369766945
2014-07-01 14:45:00,37.7048535386,-37.12,0.253,56.5572803079
2014-07-01 15:00:00,54.0268377165,-32.0,0.253,81.0402565747
2014-07-01 15:15:00,57.4595110826,-32.0,0.253,86.1892666239
2014-07-01 15:30:00,37.4090057729,-32.0,0.253,56.1135086594
2014-07-01 15:45:00,32.2096386573,-20.48,0.253,48.3144579859
2014-07-01 16:00:00,49.2072468106,-10.24,0.253,73.810870216
2014-07-01 16:15:00,65.3005259782,-10.24,0.253,97.9507889673
2014-07-01 16:30:00,62.1616021666,-10.24,0.253,93.2424032499
2014-07-01 16:45:00,53.854784406,-9.6,0.253,80.7821766089
2014-07-01 17:00:00,62.5875390207,-10.24,0.253,93.8813085311
2014-07-01 17:15:00,47.8287221153,-9.6,0.253,71.743083173
2014-07-01 17:30:00,27.2137980187,-10.24,0.253,40.820697028
2014-07-01 17:45:00,20.6904596964,-9.6,0.253,31.0356895446
2014-07-01 18:00:00,17.2242149526,-10.24,0.23,25.8363224289
2014-07-01 18:15:00,10.2644487207,-10.24,0.23,15.396673081
2014-07-01 18:30:00,8.49146033782,-9.6,0.23,12.7371905067
2014-07-01 18:45:00,7.82003278455,-10.24,0.23,11.7300491768
2014-07-01 19:00:00,4.14606514147,-9.6,0.23,6.21909771221
2014-07-01 19:15:00,3.38231629962,-10.24,0.23,5.07347444943
2014-07-01 19:30:00,2.56191575796,-9.6,0.23,3.84287363695
2014-07-01 19:45:00,1.17080179602,-10.24,0.23,1.75620269403
2014-07-01 20:00:00,0.736472097498,-10.24,0.23,1.10470814625
2014-07-01 20:15:00,0.0503570664956,-13.44,0.23,0.0755355997434
2014-07-01 20:30:00,0.0,-14.08,0.23,0.0
2014-07-01 20:45:00,0.0,-14.08,0.23,0.0
2014-07-01 21:00:00,0.0,-14.08,0.23,0.0
2014-07-01 21:15:00,0.0,-13.44,0.23,0.0
2014-07-01 21:30:00,0.0,-14.08,0.202,0.0
2014-07-01 21:45:00,0.0,-14.08,0.202,0.0
2014-07-01 22:00:00,0.0,-14.08,0.202,0.0
2014-07-01 22:15:00,0.0,-14.08,0.202,0.0
2014-07-01 22:30:00,0.0,-14.08,0.202,0.0
2014-07-01 22:45:00,0.0,-14.08,0.202,0.0
2014-07-01 23:00:00,0.0,-14.08,0.202,0.0
2014-07-01 23:15:00,0.0,-14.08,0.202,0.0
2014-07-01 23:30:00,0.0,-14.08,0.202,0.0
2014-07-01 23:45:00,0.0,-14.08,0.202,0.0
2014-07-02 00:00:00,0.0,-14.08,0.202,0.0
2014-07-02 00:15:00,0.0,-14.08,0.202,0.0
2014-07-02 00:30:00,0.0,-14.08,0.202,0.0
2014-07-02 00:45:00,0.0,-14.08,0.202,0.0
2014-07-02 01:00:00,0.0,-14.08,0.202,0.0
2014-07-02 01:15:00,0.0,-14.08,0.202,0.0
2014-07-02 01:30:00,0.0,-14.72,0.202,0.0
2014-07-02 01:45:00,0.0,-13.44,0.202,0.0
2014-07-02 02:00:00,0.0,-14.08,0.202,0.0
2014-07-02 02:15:00,0.0,-14.08,0.202,0.0
2014-07-02 02:30:00,0.0,-14.08,0.202,0.0
2014-07-02 02:45:00,0.0,-14.08,0.202,0.0
2014-07-02 03:00:00,0.0,-14.08,0.202,0.0
2014-07-02 03:15:00,0.0,-14.08,0.202,0.0
2014-07-02 03:30:00,0.0,-13.44,0.202,0.0
2014-07-02 03:45:00,0.0,-27.52,0.202,0.0
2014-07-02 04:00:00,0.0,-36.48,0.202,0.0
2014-07-02 04:15:00,0.0,-36.48,0.202,0.0
2014-07-02 04:30:00,0.0,-37.12,0.202,0.0
2014-07-02 04:45:00,0.0,-42.88,0.202,0.0
2014-07-02 05:00:00,0.0,-47.36,0.202,0.0
2014-07-02 05:15:00,0.0,-47.36,0.202,0.0
2014-07-02 05:30:00,0.0,-47.36,0.202,0.0
2014-07-02 05:45:00,0.0,-48.0,0.202,0.0
2014-07-02 06:00:00,0.0,-47.36,0.202,0.0
2014-07-02 06:15:00,0.0,-44.8,0.202,0.0
2014-07-02 06:30:00,0.260178176894,-44.16,0.202,0.390267265341
2014-07-02 06:45:00,0.686115031003,-44.8,0.202,1.0291725465
2014-07-02 07:00:00,1.37432827311,-43.52,0.202,2.06149240966
2014-07-02 07:15:00,2.50316584705,-44.16,0.202,3.75474877058
2014-07-02 07:30:00,3.23963794455,-44.16,0.202,4.85945691683
2014-07-02 07:45:00,5.86450003564,-45.44,0.202,8.79675005345
2014-07-02 08:00:00,6.96186444302,-46.72,0.202,10.4427966645
2014-07-02 08:15:00,7.56405102986,-48.0,0.202,11.3460765448
2014-07-02 08:30:00,12.7760074122,-48.0,0.23,19.1640111182
2014-07-02 08:45:00,10.1343596322,-48.64,0.23,15.2015394484
2014-07-02 09:00:00,13.2145335329,-48.64,0.23,19.8218002993
