,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
2011-01-01 00:00:00,2011,1,1,0,0,0,0,0,3.84076476097,6.80639038086,164.972317296
2011-01-01 00:30:00,2011,1,1,0,30,0,0,0,3.92370176315,6.78118286133,164.734415369
2011-01-01 01:00:00,2011,1,1,1,0,0,0,0,4.00663852692,6.7559753418,162.032874225
2011-01-01 01:30:00,2011,1,1,1,30,0,0,0,4.08254528046,6.71447143555,157.756637089
2011-01-01 02:00:00,2011,1,1,2,0,0,0,0,4.158452034,6.67299804688,152.648650775
2011-01-01 02:30:00,2011,1,1,2,30,0,0,0,4.20175457001,6.58638916016,147.112318788
2011-01-01 03:00:00,2011,1,1,3,0,0,0,0,4.24505710602,6.49978027344,141.352683134
2011-01-01 03:30:00,2011,1,1,3,30,0,0,0,4.25563144684,6.47454223633,135.480724874
2011-01-01 04:00:00,2011,1,1,4,0,0,0,0,4.26620578766,6.44930419922,129.563096318
2011-01-01 04:30:00,2011,1,1,4,30,0,0,0,4.24011421204,6.49166259766,123.644921648
2011-01-01 05:00:00,2011,1,1,5,0,0,0,0,4.21402263641,6.53402099609,117.760837342
2011-01-01 05:30:00,2011,1,1,5,30,0,0,0,4.18190765381,6.58229980469,111.94082779
2011-01-01 06:00:00,2011,1,1,6,0,0,0,0,4.1497926712,6.6305480957,106.213672498
2011-01-01 06:30:00,2011,1,1,6,30,0,0,0,4.09933757782,6.67824707031,100.609273577
2011-01-01 07:00:00,2011,1,1,7,0,0,0,0,4.0488820076,6.72594604492,95.160466449
2011-01-01 07:30:00,2011,1,1,7,30,0,0,0,3.95018529892,6.89861450195,89.899890949
2011-01-01 08:00:00,2011,1,1,8,0,59,31,315,3.85148835182,7.07131347656,84.8834541595
2011-01-01 08:30:00,2011,1,1,8,30,134,48,505,3.74552822113,7.32119140625,80.1515567978
2011-01-01 09:00:00,2011,1,1,9,0,213,60,622,3.63956785202,7.57109985352,75.7653319069
2011-01-01 09:30:00,2011,1,1,9,30,287,68,700,3.55999708176,7.99813232422,71.7929908186
