Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,680780,-,-,-,33.21,-97.14,-6,203,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,0,0,0,0,0,3.433349371,2.359216309,167.6361508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,0,30,0,0,0,3.563943863,2.057061768,169.8057515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,1,0,0,0,0,3.694538355,1.754907227,168.0844618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,1,30,0,0,0,3.790217638,1.397637939,163.6631201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,2,0,0,0,0,3.885896921,1.040338135,158.1326998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,2,30,0,0,0,3.894154072,0.594415283,152.1613287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,3,0,0,0,0,3.902411222,0.148492432,145.9985661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,3,30,0,0,0,3.812119007,-0.274511719,139.7529555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,4,0,0,0,0,3.721826792,-0.697485352,133.4812009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,4,30,0,0,0,3.677367449,-1.067602539,127.21879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,5,0,0,0,0,3.632908106,-1.437689209,120.9921244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,5,30,0,0,0,3.615991592,-1.768347168,114.8240987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,6,0,0,0,0,3.599075079,-2.098974609,108.7371236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,6,30,0,0,0,3.623294592,-2.398657227,102.7551077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,7,0,0,0,0,3.647514105,-2.698339844,96.90504462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,7,30,0,0,0,3.700005054,-2.465124512,91.21851408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,8,0,46,25,283,3.752495766,-2.23190918,85.73149182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,8,30,131,50,490,3.755361319,-1.513433838,80.49392802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,9,0,223,63,641,3.758226871,-0.794927979,75.5578109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,9,30,313,73,736,3.750020981,0.221276855,70.98984814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,10,0,395,80,801,3.741814852,1.237451172,66.86846779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,10,30,466,86,846,3.710156679,2.183221436,63.28340214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,11,0,524,90,878,3.678498507,3.129022217,60.33230492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,11,30,568,93,899,3.62565279,3.818780518,58.11337561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,12,0,596,94,913,3.572807312,4.508569336,56.71372127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,12,30,607,95,919,3.449670792,4.927362061,56.19526236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,13,0,601,94,919,3.32653451,5.346154785,56.5824704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,13,30,578,93,912,3.145924091,5.441094971,57.85699675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,14,0,540,90,898,2.965313435,5.536065674,59.96172837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,14,30,487,86,876,2.820176125,5.223352051,62.81233883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,15,0,420,81,843,2.675038576,4.910638428,66.31143092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,15,30,341,73,796,2.592127085,4.146661377,70.36070701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,16,0,253,63,730,2.509215593,3.382684326,74.86898472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,16,30,162,46,647,2.462337732,2.192041016,79.75609928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,17,0,79,41,436,2.415459871,1.001397705,84.95370358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,17,30,0,0,0,2.436804771,0.618463135,90.40247397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,18,0,0,0,0,2.458149672,0.235528564,96.06769997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,18,30,0,0,0,2.450688601,-0.041784668,101.8961619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,19,0,0,0,0,2.44322753,-0.3190979,107.8607841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,19,30,0,0,0,2.421803474,-0.566229248,113.9339596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
